Year,Type,Source,Text,Polarity,Subjectivity
2017,SPOK,"Fox: Fox News Sunday
",. This week we had the shocking verdict in the Steinle case where the illegal immigrant who had been deported and returned several times was acquitted on charges of murder.,-0.5,0.5
2017,SPOK,"Fox: Ingraham Angle
","want to go to you. The loss whether it's a drunk driving illegal immigrant, a hit and run illegal immigrant, involuntary manslaughter, although this creep did",-0.5,0.6666666666666666
2017,SPOK,"Fox: Ingraham Angle
","loss whether it's a drunk driving illegal immigrant, a hit and run illegal immigrant, involuntary manslaughter, although this creep didn't even get that in the Steinle",-0.5,0.6666666666666666
2017,SPOK,"Fox: Journal Editorial Report
",issue in the midterm elections? GIGOT# A San Francisco jury Thursday found an illegal immigrant not guilty in the July 2015 death of Kate Steinle. Jose Ines Garcia Zarate,-0.125,0.75
2017,SPOK,"Fox: The Five
","right? OK. Much more ahead, widespread outrage after a five-time deported illegal immigrant is cleared in the murder of Kate Steinle. Right back with our reaction.",0.17857142857142852,0.42857142857142855
2017,SPOK,"Fox: The Five
","Now to a stunning verdict since O.J. Last night in San Francisco, the illegal immigrant at the center of the sanctuary cities debate in America was acquitted of murdering 32-year-old",-0.025,0.4166666666666667
2017,SPOK,"Fox: The Five
",". CARLSON# What we know, Rachel, is this guy was a homeless illegal immigrant who'd been deported five previous times. Had a drug problem, admitted taking",-0.3333333333333333,0.3333333333333333
2017,SPOK,"Fox: The Five
",", if this had been the opposite, if Kate Steinle had murdered an illegal immigrant in San Francisco and was acquitted for it, how many fires were be burning",0.0,0.3333333333333333
2017,SPOK,"Fox: The Five
",DUFFY# Back now with more on the Kate Steinle verdict. The acquittal of illegal immigrant Jose Inez Garcia Zarate. A spokeswoman for the justice department believes that San Francisco,0.0,0.3333333333333333
2017,SPOK,"PBS: PBS Newshour
","fairness in illegal immigration went to one issue: What's fair to the illegal immigrant? And now people are asking, what's fair to the rest us of",0.09999999999999998,0.7
2017,SPOK,"PBS: PBS Newshour
","murdered in cold blood in front of her father in San Francisco by an illegal immigrant who had been deported five times, Judy. That's humane treatment of whom",-0.55,0.75
2017,SPOK,"Fox: (--)
","House threatens to withhold some of its funding, along with other cities protecting illegal immigrant. Chicago Mayor Rahm Emanuel calling it blackmail. The Justice Department says the mayor",-0.3125,0.4375
2017,SPOK,"Fox: Story: Maccallum
","can imagine that, in some ways, Chris, it's like the illegal immigrant trying to cross the border that has been curtailed, somewhat, because of President",-0.25,0.25
2017,SPOK,"Fox: The Five
",one of the fathers whose son had been shot in the face by an illegal immigrant who should have been deported and his son died. And he said that he,-0.5,0.5
2017,SPOK,"Fox: The Five
","this is outrageous. We wouldn't say, oh, you are an illegal immigrant. We would say, we don't like crime, and guess what?",-0.75,0.75
2017,SPOK,"Fox: Tucker Carlson Tonight
","entitled to in-state tuition rates once they get there. Julissa Arce, former illegal immigrant was an illegal alien who used forged documents to get a job at Goldman Sachs",-0.3125,0.4375
2017,SPOK,"Fox: Tucker Carlson Tonight
",n't support a local community or a town using taxpayer dollars to defend an illegal immigrant or anything like that. But it's appropriate though as some local towns and,0.0,0.25
2017,SPOK,"Fox: First 100 Days
","and an angel mom, Laura Wilkerson, whose son was killed by an illegal immigrant. Stand by for that. But first, let's go to Trace Gallagher",-0.15,0.27777777777777773
